seed,winner,winner_deck,win_turn,turns,life_p1,life_p2,life_p3,life_p4
1,,,,14,0,-1,4,16
2,,,,14,16,38,26,38
3,,,,14,39,39,9,39
4,P2,ovika deck,12,12,-1,22,0,-1
5,P2,minstrel deck,12,12,-107,-5,-12,-9
6,P2,nekusar deck,11,11,-1,7,-8,-2
7,P1,kuja deck,12,12,40,-97,-100,-61
8,P1,minstrel deck,10,10,11,-6,-5,-25
9,P1,nekusar deck,10,10,20,0,-14,-86
10,,,,14,12,-2,-30,1
11,P3,minstrel deck,11,11,-4,0,42,-3
12,,,,14,-1,-1,32,18
13,P3,ovika deck,12,12,-2,-1,9,-19
14,P1,ovika deck,11,11,25,-4,-23,-30
15,,,,14,0,40,32,27
16,P3,ovika deck,8,8,0,-1,38,-7
17,P1,nekusar deck,13,13,23,-38,-51,-34
18,,,,14,21,5,18,20
19,P3,kuja deck,13,13,-3,0,22,-3
20,P1,minstrel deck,11,11,5,-3,-8,0
21,P3,nekusar deck,11,11,-5,-2,38,-3
22,P2,ovika deck,9,9,-2,33,-30,0
23,P3,ovika deck,10,10,0,-1,20,0
24,P1,nekusar deck,13,13,10,-6,-6,-5
25,,,,14,27,4,37,41
26,P4,kuja deck,13,13,-5,-2,-1,26
27,,,,14,0,12,-1,37
28,P3,kuja deck,10,10,0,-3,17,-2
29,P1,ovika deck,14,14,26,-15,-11,-4
30,P1,kuja deck,9,9,7,-39,-7,-4
31,P3,kuja deck,8,8,-7,-1,35,0
32,P1,ovika deck,11,11,24,-54,-29,-62
33,P3,nekusar deck,14,14,0,0,25,0
34,P1,kuja deck,11,11,40,-23,-11,-3
35,,,,14,40,39,36,28
36,,,,14,-1,19,-6,7
